"","tf","es","lens","pvals","z","qvals"
"AR","AR",0.5177960330078,299,0,4.55527802155973,0
"E2F1","E2F1",0.460714319139488,693,0,3.80067956339073,0
"ESR1","ESR1",0.542808274327073,149,0,3.67413906246836,0
"HIF1A","HIF1A",0.558254976567569,143,0,4.01365267951199,0
"MYC","MYC",0.474877963100282,831,0,5.09990560248218,0
"NFKB1","NFKB1",0.475621377990055,429,0,3.60482137166691,0
"SP1","SP1",0.471295178852238,638,0,4.23536344152127,0
"TFAP2A","TFAP2A",0.542142566295749,312,0,5.52550681275758,0
"TP53","TP53",0.517087822042897,355,0,4.92357696443816,0
"STAT3","STAT3",0.527812519958437,199,1e-04,3.87415298352363,0.00311
"PPARD","PPARD",0.645055060928487,46,2e-04,3.38232874238649,0.00565454545454545
"ZEB1","ZEB1",0.833463846473824,12,3e-04,2.26567800388947,0.007775
"RELA","RELA",0.477519705665988,357,5e-04,3.32251598394857,0.0116625
"ATF4","ATF4",0.588352209623638,63,6e-04,3.03791866228812,0.0116625
"TWIST2","TWIST2",0.709115424413383,24,6e-04,2.81619801173602,0.0116625
"WT1","WT1",0.588472244028332,71,6e-04,3.19065474161671,0.0116625
"EGR1","EGR1",0.522875995928443,144,8e-04,3.12686061588161,0.0138222222222222
"FOS","FOS",0.537770498090187,107,8e-04,2.92881399109972,0.0138222222222222
"CTNNB1","CTNNB1",0.571061211889442,73,9e-04,2.92208628656524,0.013995
"ETV4","ETV4",0.560024548501913,82,9e-04,2.92209068206788,0.013995
"E2F2","E2F2",0.504386279821756,196,0.001,3.10185010690559,0.0148095238095238
"HOXB7","HOXB7",0.784109264877494,12,0.0012,1.90157288947797,0.0169636363636364
"SNAI2","SNAI2",0.710763152475015,21,0.0013,2.65192209281523,0.0175782608695652
"PAX6","PAX6",0.715289285978423,19,0.0018,2.41320279077549,0.023325
"TWIST1","TWIST1",0.645068153325642,34,0.0019,2.74584734242039,0.023636
"VDR","VDR",0.605181052361871,42,0.002,2.63347712957351,0.0239230769230769
"DNMT1","DNMT1",0.631956427622323,31,0.0042,2.47139641519099,0.0483777777777778
"ARNT","ARNT",0.663066140071165,23,0.0046,2.28499211601297,0.0493310344827586
"SNAI1","SNAI1",0.745132114944542,13,0.0046,1.81646714679901,0.0493310344827586
"JUN","JUN",0.46208078057693,328,0.0048,2.56528543186147,0.04976
"LEF1","LEF1",0.561630338301177,62,0.0052,2.5111749548563,0.0521677419354839
"NFE2L2","NFE2L2",0.672969167132152,21,0.0054,2.25752310887067,0.05248125
"RUNX2","RUNX2",0.674829075594381,20,0.0057,2.20128654651987,0.0537181818181818
"KLF4","KLF4",0.602919660990556,37,0.0072,2.34749565758735,0.0658588235294118
"HDAC3","HDAC3",0.640169162768986,26,0.0078,2.18005468201518,0.0693085714285714
"BRCA1","BRCA1",0.543554409509089,70,0.0084,2.34539891607453,0.0725666666666667
"E2F4","E2F4",0.463355823062232,287,0.01,2.39043967396642,0.0840540540540541
"CREBBP","CREBBP",0.546975649461884,62,0.0104,2.25086706528837,0.0851157894736842
"FOXA2","FOXA2",0.662863293655767,19,0.0112,1.91733872961894,0.0878575
"ELF3","ELF3",0.787476947780316,8,0.0113,1.32644237733701,0.0878575
"CREB1","CREB1",0.467440675587411,229,0.0129,2.22439543007248,0.0978512195121951
"TCF3","TCF3",0.707606536677859,12,0.0154,1.47120316863747,0.114033333333333
"SMARCA4","SMARCA4",0.750541393884202,9,0.0159,1.3059303825345,0.114997674418605
"HDAC4","HDAC4",0.619539508935281,24,0.0179,1.87727316415034,0.126520454545455
"USF2","USF2",0.51126506919538,92,0.0187,2.07743632926843,0.127104347826087
