"","tf","es","lens","pvals","z","qvals"
"BRCA1","BRCA1",0.570458668372198,70,0,4.03677801544973,0
"CTNNB1","CTNNB1",0.561988318074996,73,0,3.96551396414822,0
"E2F1","E2F1",0.405562324009071,693,0,4.09181292050613,0
"ESR1","ESR1",0.519470246255016,149,0,4.76087175311297,0
"HIF1A","HIF1A",0.506223035359215,143,0,4.28596954540757,0
"RB1","RB1",0.637324720141871,45,0,4.14680681445679,0
"SMAD3","SMAD3",0.576579896256894,87,0,4.72838575772738,0
"SP1","SP1",0.436908854198113,638,0,5.62219318608963,0
"STAT3","STAT3",0.487740212608588,199,0,4.48293671755062,0
"TCF7L2","TCF7L2",0.7132779721754,30,0,4.20692624850733,0
"EGR1","EGR1",0.47271929459367,144,1e-04,3.39212047441223,0.00239230769230769
"NFKB1","NFKB1",0.423678782364213,429,1e-04,3.95424411518734,0.00239230769230769
"TCF7","TCF7",0.711327808067774,21,1e-04,3.12182591747237,0.00239230769230769
"PER2","PER2",0.727729561623857,17,2e-04,2.69809627973129,0.00345555555555556
"RELA","RELA",0.426062266363193,357,2e-04,3.6621770703569,0.00345555555555556
"SMAD4","SMAD4",0.542235606813335,78,2e-04,3.71294517211452,0.00345555555555556
"TCF7L1","TCF7L1",0.703095221507918,20,2e-04,2.92171034806993,0.00345555555555556
"TP53","TP53",0.424758405397179,355,2e-04,3.53518926978742,0.00345555555555556
"CREBBP","CREBBP",0.552857492061373,62,3e-04,3.44963388305308,0.00491052631578947
"SMAD2","SMAD2",0.617120670644252,35,4e-04,3.28020343074913,0.00565454545454545
"SMAD7","SMAD7",0.657636202220168,25,4e-04,3.05864628298167,0.00565454545454545
"STAT1","STAT1",0.468137948120415,154,4e-04,3.3415934926122,0.00565454545454545
"SNAI1","SNAI1",0.744589282070531,13,8e-04,2.08682515679478,0.0108173913043478
"TSG101","TSG101",0.748556874821367,11,0.0011,1.88668031701831,0.0138222222222222
"EP300","EP300",0.484886583922464,97,0.0012,2.91620454648158,0.0138222222222222
"ESR2","ESR2",0.570223333676202,40,0.0012,2.82829412690241,0.0138222222222222
"FOXO3","FOXO3",0.674019133291571,20,0.0012,2.60063224218454,0.0138222222222222
"AR","AR",0.417974709468366,299,0.0013,2.95313524220702,0.0144392857142857
"ELK1","ELK1",0.541310709146218,51,0.0017,2.85849185219475,0.0169636363636364
"IKBKG","IKBKG",0.569258929341245,36,0.0017,2.64670158587775,0.0169636363636364
"NKX3-1","NKX3-1",0.73459683003178,13,0.0017,2.09484121722988,0.0169636363636364
"ARNT","ARNT",0.637085056451819,23,0.0018,2.52722924832034,0.0169636363636364
"TCF4","TCF4",0.618684236407523,27,0.0018,2.7992893113131,0.0169636363636364
"JUND","JUND",0.584143901883615,37,0.0019,2.93232417064426,0.0173794117647059
"SMARCA4","SMARCA4",0.780449004711059,9,0.0022,1.65348796311101,0.0191384615384615
"EWSR1","EWSR1",0.75844174622594,10,0.0023,1.7283513820895,0.0191384615384615
"SOX17","SOX17",0.761814102357552,10,0.0023,1.75148113713156,0.0191384615384615
"PDX1","PDX1",0.779444479896299,8,0.0024,1.53459376051263,0.0191384615384615
"PER3","PER3",0.709624201684505,14,0.0024,2.12013174438407,0.0191384615384615
"E2F3","E2F3",0.616752278452388,26,0.0025,2.64068657065375,0.0194375
"CRY1","CRY1",0.752077478181055,10,0.0027,1.69316956700426,0.0199928571428571
"WT1","WT1",0.508055840946507,71,0.0027,2.79168246674592,0.0199928571428571
"VHL","VHL",0.638442877702036,21,0.0028,2.34193776347492,0.0202511627906977
"HOXB7","HOXB7",0.717638941590151,12,0.003,1.83095755834293,0.0209586956521739
"ATM","ATM",0.613821412803987,25,0.0031,2.55788373810846,0.0209586956521739
"RBL2","RBL2",0.674666780937217,16,0.0031,2.11854083453253,0.0209586956521739
"FOS","FOS",0.467208200687231,107,0.0039,2.6636041049568,0.0258063829787234
"KLF4","KLF4",0.558449362196777,37,0.0043,2.54997292689039,0.0272918367346939
"PARP1","PARP1",0.595026395570246,28,0.0043,2.54709797845228,0.0272918367346939
"NPAS2","NPAS2",0.691284307912669,13,0.0047,1.80025984419099,0.029234
"IKBKB","IKBKB",0.552458614188633,39,0.0049,2.51465573952326,0.0298803921568627
"KLF5","KLF5",0.625810433164642,20,0.0052,2.16738525493835,0.0311
"HOXA1","HOXA1",0.714031027698649,11,0.0055,1.66020864286234,0.0316759259259259
"TWIST2","TWIST2",0.599403032488438,24,0.0055,2.27941868784153,0.0316759259259259
"PROX1","PROX1",0.726328348935843,10,0.006,1.56769328298981,0.0338767857142857
"ATF4","ATF4",0.499727055050946,63,0.0061,2.47269658355165,0.0338767857142857
"STAT5B","STAT5B",0.517869818023188,53,0.0063,2.49979146437415,0.0343736842105263
"FOXO1","FOXO1",0.560444802498871,35,0.0065,2.454659701112,0.0348534482758621
"PML","PML",0.608801506554761,22,0.0068,2.11293723806631,0.0358440677966102
"SMAD6","SMAD6",0.721937732084463,10,0.0072,1.53823225978355,0.03732
"SOX4","SOX4",0.750007248347703,8,0.0076,1.36765493044721,0.0387475409836066
"SP3","SP3",0.433758721339876,160,0.0079,2.42877538872415,0.0392338461538462
"BCL6","BCL6",0.568411036338934,29,0.0081,2.25131012633484,0.0392338461538462
"PER1","PER1",0.640248624362063,17,0.0082,1.98065235561941,0.0392338461538462
"RBMX","RBMX",0.750181995338534,8,0.0082,1.39766072118975,0.0392338461538462
"HIPK2","HIPK2",0.717531550334269,10,0.009,1.54224836744116,0.0424090909090909
"HEY1","HEY1",0.72344621697389,9,0.0092,1.41735691121802,0.0427044776119403
"ATF2","ATF2",0.509753013599381,51,0.0095,2.33382275170452,0.0428188405797101
"PTTG1","PTTG1",0.562626244166972,30,0.0095,2.26523634855057,0.0428188405797101
"ARNTL","ARNTL",0.667864517811892,13,0.0103,1.64529050682784,0.0457614285714286
"STAT2","STAT2",0.519752167114527,45,0.0112,2.30586047409315,0.0490591549295775
"RBL1","RBL1",0.629770707773894,17,0.0117,1.85709265279558,0.0505375
"RUNX3","RUNX3",0.565045026055483,29,0.012,2.18780484515359,0.0511232876712329
"SRF","SRF",0.557195500521643,30,0.0123,2.19245861271122,0.0516932432432432
"RARA","RARA",0.446767477684471,115,0.0125,2.26680308850364,0.0518333333333333
"SP2","SP2",0.713561179078627,9,0.0134,1.37392479986922,0.054525974025974
"EPAS1","EPAS1",0.538333638272026,35,0.0135,2.15559168556228,0.054525974025974
"STAT4","STAT4",0.537881709384739,34,0.0144,2.11818170366971,0.0574153846153846
"RUNX1","RUNX1",0.516398986678237,43,0.0151,2.17795073792413,0.0583604938271605
"HDAC2","HDAC2",0.545524672031973,32,0.0152,2.13510121935871,0.0583604938271605
"TP63","TP63",0.595780114173624,20,0.0152,1.90131787090208,0.0583604938271605
"RUNX2","RUNX2",0.596099598365326,20,0.0158,1.85848436655662,0.0599243902439024
"APC","APC",0.578581939675181,23,0.0162,1.96721541108287,0.0607012048192771
"AHR","AHR",0.580881050746264,22,0.0176,1.89796603221423,0.0651619047619048
"LEF1","LEF1",0.481867130066985,62,0.0179,2.09819233668973,0.0654929411764706
"REL","REL",0.524341047148463,37,0.0182,2.08753192421575,0.0658162790697674
"HDAC3","HDAC3",0.562319521198998,26,0.0195,1.98104465201927,0.0697068965517241
"JUN","JUN",0.391566307419937,328,0.0217,2.05848894707517,0.0766897727272727
"HSF1","HSF1",0.545514944182849,29,0.0226,1.91282371010021,0.0789730337078652
"KAT2B","KAT2B",0.604791003279989,16,0.0255,1.5248016396058,0.0871483516483516
"TBP","TBP",0.611385419981769,16,0.0255,1.56615568646292,0.0871483516483516
"TWIST1","TWIST1",0.521934157881944,34,0.0261,1.90625421571065,0.088229347826087
"PGR","PGR",0.471619595527357,63,0.0268,1.93062844888637,0.0889989361702128
"ETV4","ETV4",0.452883078344224,82,0.0269,1.94189491059737,0.0889989361702128
"PAX5","PAX5",0.568287993184231,22,0.0273,1.76485747209953,0.0890885416666667
"HDAC1","HDAC1",0.4534088145762,81,0.0275,1.92728759335289,0.0890885416666667
"SOX10","SOX10",0.649246495257528,11,0.0287,1.30715800716661,0.0920175257731959
"MYC","MYC",0.364282903680836,831,0.0294,1.8718727703737,0.0926717171717172
"TP73","TP73",0.585320515402207,18,0.0295,1.50836118712834,0.0926717171717172
"XBP1","XBP1",0.577588808891176,19,0.0305,1.6540888334042,0.094855
"NR1I2","NR1I2",0.545166143771077,26,0.0314,1.74586836331503,0.0966871287128713
"IRF8","IRF8",0.636176084468364,12,0.0329,1.31596470935566,0.100312745098039
"ZNF382","ZNF382",0.656110134047142,10,0.0343,1.21929307841787,0.103566019417476
"GLI1","GLI1",0.455747907503827,71,0.0366,1.79913835476692,0.109448076923077
"NFKB2","NFKB2",0.520941728825681,30,0.0375,1.73176623627846,0.111071428571429
"SMURF2","SMURF2",0.561745129580197,20,0.0391,1.48817805152259,0.114717924528302
"HIC1","HIC1",0.646852892299194,10,0.0415,1.15261314114736,0.120080555555556
"GLI2","GLI2",0.461491768058237,63,0.0417,1.75891086019858,0.120080555555556
"POU5F1","POU5F1",0.536958340219207,25,0.0425,1.63923315420139,0.121261467889908
"CREB3L1","CREB3L1",0.643171757540258,10,0.0433,1.14372627882586,0.122420909090909
"MYB","MYB",0.401465573542216,191,0.0454,1.72095906256808,0.125225663716814
"ZEB1","ZEB1",0.618584650862988,12,0.0454,1.22829537451483,0.125225663716814
"HTT","HTT",0.597353525603276,14,0.0455,1.3336424082033,0.125225663716814
"NR4A1","NR4A1",0.590542085945891,15,0.0467,1.38302267032294,0.127400877192982
"DNMT3A","DNMT3A",0.640743919255313,10,0.048,1.12972950441308,0.12895775862069
"ELK4","ELK4",0.641835255167948,10,0.0481,1.12975222619854,0.12895775862069
"FOXF2","FOXF2",0.667337685898707,8,0.0487,1.04734989106811,0.129450427350427
"STAT5A","STAT5A",0.459501209811944,60,0.05,1.64777921729522,0.131717647058824
"HOXA10","HOXA10",0.587782254099712,15,0.0504,1.30781308983588,0.131717647058824
"SMAD1","SMAD1",0.486251242502171,41,0.0511,1.63170989517015,0.132434166666667
"ZNF148","ZNF148",0.661343840998234,8,0.0527,1.02998006186878,0.135452066115702
"FOSL2","FOSL2",0.582589782535832,15,0.0562,1.28560847699907,0.142207258064516
"CREB3","CREB3",0.630206292197479,10,0.0565,1.07446240131592,0.142207258064516
"NFIC","NFIC",0.42014294085628,114,0.0567,1.59233277763118,0.142207258064516
"GLI3","GLI3",0.462585098108479,53,0.0581,1.58233286088623,0.144146031746032
"CLOCK","CLOCK",0.547303468369171,20,0.0584,1.39979692969251,0.144146031746032
"FOSL1","FOSL1",0.639046515657019,9,0.06,1.03010711196495,0.14578125
"HDAC7","HDAC7",0.59655633397196,13,0.06,1.1850992762081,0.14578125
"PPARA","PPARA",0.422058510774922,107,0.0623,1.55237774272175,0.150081060606061
"CDX2","CDX2",0.504234267551518,31,0.0628,1.5000949901887,0.150081060606061
"TCF3","TCF3",0.601464730616334,12,0.0635,1.12477340432697,0.150081060606061
"PAX3","PAX3",0.654729502949515,8,0.0637,0.992165652187735,0.150081060606061
"PAX6","PAX6",0.546060055672445,19,0.0645,1.33284536961484,0.150823308270677
"CREB3L3","CREB3L3",0.635051029137742,9,0.0665,1.01062473074828,0.154339552238806
"APEX1","APEX1",0.649309419515899,8,0.0686,0.974143776387503,0.158034074074074
"NR1H3","NR1H3",0.647705237662384,8,0.07,0.961144277333104,0.160073529411765
"CREB3L4","CREB3L4",0.618542896520604,10,0.0706,1.02548718968742,0.160267153284672
"MECP2","MECP2",0.601862353180875,11,0.0728,1.03917411490474,0.164063768115942
"FOXD3","FOXD3",0.641832504110319,8,0.0739,0.95739908488616,0.165344604316547
"NR0B2","NR0B2",0.59931733016018,11,0.076,1.03378853543059,0.168828571428571
"HNF1A","HNF1A",0.520571252436519,24,0.077,1.35941015508063,0.169836879432624
"ING4","ING4",0.56391336861479,15,0.0791,1.11420255854547,0.17324014084507
"NR3C1","NR3C1",0.478063058687474,37,0.0823,1.38623431360525,0.178988111888112
"TFAP2C","TFAP2C",0.605909416576168,10,0.0862,0.960063145736813,0.186168055555556
"E2F2","E2F2",0.389918808459476,196,0.0904,1.34754974045707,0.193892413793103
"HDAC9","HDAC9",0.516293882470197,22,0.0918,1.20906944828855,0.194639455782313
"CREB1","CREB1",0.384009072992635,229,0.092,1.33123353485674,0.194639455782313
"CTBP1","CTBP1",0.587948443503854,11,0.0944,0.954083550608015,0.198367567567568
"E2F5","E2F5",0.629435388509827,8,0.0969,0.89547775315549,0.202254362416107
"CTCF","CTCF",0.490102195156916,29,0.0984,1.26998055004257,0.204016
"FLI1","FLI1",0.451612376189954,49,0.102,1.27809627849588,0.210079470198675
"IRF9","IRF9",0.546251529717434,15,0.1057,1.01673614892159,0.216267763157895
"ATF6","ATF6",0.541939729817298,15,0.111,0.995928964248928,0.225627450980392
"SNAI2","SNAI2",0.512196990791398,21,0.1123,1.11602577293747,0.226787662337662
"TFAP2A","TFAP2A",0.372069702336188,312,0.1137,1.21728178622867,0.228133548387097
"PPARD","PPARD",0.452276799161859,46,0.1145,1.22294797157775,0.228266025641026
